InvoiceNo,product_id,Quantity
536488,534,1
536488,535,1
536488,536,1
536488,537,1
536488,538,1
536488,539,2
536488,540,12
536488,541,2
536488,542,1
536488,543,1
536488,544,1
536488,545,1
536488,546,1
536488,547,3
536488,548,4
536500,5,2
536500,18,6
536500,19,6
536500,34,3
536500,41,7
536500,156,10
536500,364,2
536500,414,12
536500,442,3
536500,549,10
536500,550,12
536500,551,12
536500,552,12
536500,553,2
536500,554,3
536502,1,6
536502,10,16
536502,533,2
536502,555,3
536502,556,12
536506,22,-6
536508,352,144
536508,557,72
536514,8,36
536514,198,36
536514,199,36
536514,434,6
536514,558,4
536520,1,3
536520,8,3
536520,9,4
536520,93,1
536520,118,1
536520,128,3
536520,129,1
536520,171,3
536520,185,2
536520,186,1
536520,223,1
536520,247,1
536520,248,1
536520,288,1
536520,322,3
536520,350,1
536520,383,2
536520,427,1
536520,436,5
536520,438,1
536520,475,12
536520,477,1
536520,496,12
536520,500,1
536520,514,12
536520,516,2
536520,517,2
536520,559,1
536520,560,1
536520,561,2
536520,562,16
536520,563,1
536520,564,2
536520,565,1
536520,566,14
536520,567,4
536520,568,4
536520,569,3
536520,570,2
536520,571,1
536520,572,6
536520,573,1
536520,574,2
536520,575,1
536520,576,3
536520,577,2
536520,578,2
536520,579,1
536520,580,1
536520,581,3
536520,582,3
536520,583,2
536520,584,4
536520,585,2
536520,586,3
536520,587,2
536520,588,1
536520,589,1
536520,590,2
536520,591,1
536520,592,2
536520,593,1
536520,594,1
536520,595,12
536520,596,1
536520,597,1
536520,598,1
536520,599,1
536520,600,1
536521,601,1
536522,9,3
536522,13,3
536522,15,1
536522,49,2
536522,65,1
536522,77,1
536522,141,1
536522,155,1
536522,159,1
536522,195,2
536522,198,1
536522,199,2
536522,216,1
536522,248,2
536522,297,1
536522,352,12
536522,385,1
536522,396,5
536522,424,1
536522,466,3
536522,483,2
536522,500,2
536522,518,1
536522,519,1
536522,546,1
536522,564,2
536522,566,3
536522,602,1
536522,603,1
536522,604,1
536522,605,1
536522,606,1
536522,607,3
536522,608,1
536522,609,1
536522,610,3
536522,611,1
536522,612,1
536522,613,1
536522,614,2
536522,615,3
536522,616,2
536522,617,1
536522,618,1
536522,619,1
536522,620,3
536523,151,12
536523,177,3
536523,212,2
536523,220,3
536523,314,12
536523,407,6
536523,462,24
536523,481,2
536523,621,6
536523,622,6
536523,623,12
536523,624,24
536524,599,6
536524,625,6
536524,626,6
536524,627,6
536525,33,1
536525,126,2
536525,134,1
536525,394,10
536525,407,1
536525,533,2
536525,628,2
536525,629,1
536525,630,2
536525,631,1
536525,632,3
536525,633,2
536525,634,1
536526,78,20
536526,82,10
536526,141,10
536526,442,8
536526,635,16
536526,636,16
536526,637,2
536526,638,6
536526,639,6
536527,46,1
536527,151,12
536527,154,12
536527,226,12
536527,251,6
536527,274,4
536527,323,6
536527,355,10
536527,376,12
536527,640,12
536527,641,12
536527,642,24
536527,643,10
536527,644,12
536527,645,12
536528,22,1
536528,35,4
536528,40,2
536528,41,1
536528,79,1
536528,82,2
536528,119,2
536528,137,1
536528,166,2
536528,167,3
536528,169,3
536528,193,6
536528,199,4
536528,208,3
536528,228,1
536528,261,1
536528,304,3
536528,322,3
536528,331,3
536528,374,2
536528,384,1
536528,404,12
536528,414,1
536528,436,4
536528,447,11
536528,495,4
536528,499,1
536528,520,1
536528,533,1
536528,596,2
536528,646,12
536528,647,2
536528,648,4
536528,649,3
536528,650,1
536528,651,2
536528,652,2
536528,653,2
536528,654,2
536528,655,1
536528,656,4
536528,657,1
536528,658,1
536528,659,1
536529,57,1
536529,257,6
536529,660,3
536529,661,2
536529,662,4
536529,663,6
536529,664,12
536529,665,2
536529,666,2
536530,51,24
536530,82,6
536530,121,1
536530,155,1
536530,484,1
536530,533,1
536530,607,2
536530,621,2
536530,622,4
536530,667,2
536530,668,1
536530,669,1
536530,670,1
536530,671,1
536530,672,1
536530,673,2
536530,674,1
536530,675,4
536530,676,1
536530,677,8
536530,678,6
536530,679,1
536531,28,9
536531,29,9
536531,47,80
536531,48,12
536531,104,12
536531,105,12
536531,160,4
536531,161,4
536531,162,4
536531,169,40
536531,197,24
536531,206,9
536531,235,6
536531,680,24
536531,681,24
536531,682,25
536531,683,50
536531,684,25
536531,685,25
536531,686,12
536531,687,2
536531,688,4
536532,9,12
536532,43,24
536532,44,24
536532,58,8
536532,59,6
536532,70,24
536532,72,24
536532,73,24
536532,79,24
536532,92,12
536532,165,12
536532,166,12
536532,171,72
536532,172,48
536532,173,36
536532,175,24
536532,180,24
536532,181,48
536532,182,48
536532,183,48
536532,185,36
536532,186,24
536532,197,12
536532,198,12
536532,199,12
536532,201,24
536532,202,24
536532,239,12
536532,290,24
536532,292,24
536532,305,24
536532,311,2
536532,316,12
536532,342,24
536532,416,8
536532,427,24
536532,428,24
536532,429,24
536532,431,24
536532,463,8
536532,494,12
536532,516,12
536532,588,12
536532,689,50
536532,690,96
536532,691,36
536532,692,24
536532,693,24
536532,694,24
536532,695,24
536532,696,24
536532,697,12
536532,698,12
536532,699,48
536532,700,48
536532,701,48
536532,702,48
536532,703,48
536532,704,12
536532,705,12
536532,706,24
536532,707,24
536532,708,24
536532,709,24
536532,710,72
536532,711,12
536532,712,12
536532,713,12
536532,714,12
536532,715,24
536532,716,24
536532,717,6
536532,718,24
536533,597,6
536533,719,48
536533,720,2
536533,721,20
536533,722,3
536533,723,1
536534,198,12
536534,199,12
536534,208,12
536534,218,3
536534,421,12
536535,111,2
536535,177,3
536535,306,24
536535,311,2
536535,312,2
536535,314,12
536535,463,8
536535,621,3
536535,724,3
536535,725,3
536535,726,3
536535,727,6
536536,10,80
536536,177,3
536536,728,12
536537,117,8
536537,344,6
536537,513,8
536537,533,2
536537,729,36
536537,730,36
536537,731,12
536537,732,12
536537,733,8
536537,734,8
536537,735,2
536538,6,2
536538,47,5
536538,111,1
536538,127,2
536538,128,8
536538,129,2
536538,163,5
536538,169,5
536538,241,1
536538,310,6
536538,507,10
536538,509,10
536538,584,2
536538,636,2
536538,648,2
536538,736,1
536538,737,1
536538,738,1
536538,739,1
536538,740,1
536538,741,12
536538,742,4
536538,743,6
536538,744,1
536538,745,3
536538,746,2
536538,747,10
536538,748,10
536538,749,10
536538,750,10
536538,751,10
536539,9,12
536539,35,6
536539,54,2
536539,58,4
536539,115,5
536539,151,12
536539,178,4
536539,185,12
536539,208,12
536539,241,2
536539,257,6
536539,428,12
536539,434,6
536539,446,6
536539,533,2
536539,636,8
536539,672,3
536539,752,18
536539,753,4
536539,754,2
536539,755,1
536539,756,2
536539,757,2
536539,758,4
536539,759,3
536539,760,2
536539,761,8
536540,17,6
536540,45,36
536540,167,4
536540,187,12
536540,189,12
536540,190,24
536540,403,12
536540,762,6
536540,763,6
536540,764,50
536540,765,6
536540,766,6
536540,767,24
536540,768,12
536540,769,2
536540,770,2
536540,771,2
536540,772,4
536540,773,4
536540,774,1
536541,301,12
536542,1,32
536542,60,30
536542,61,20
536542,77,40
536542,82,30
536542,115,20
536542,141,40
536542,265,10
536542,293,20
536542,295,10
536542,355,30
536542,360,30
536542,593,20
536542,643,20
536542,775,20
536542,776,20
536543,9,-1
536543,764,-2
536548,38,-1
536548,138,-2
536548,154,-5
536548,176,-1
536548,234,-2
536548,297,-1
536548,374,-6
536548,402,-4
536548,513,-1
536548,641,-4
536548,777,-7
536548,778,-2
536548,779,-3
536548,780,-1
536551,14,6
536551,36,1
536551,37,1
536551,41,2
536551,136,4
536551,145,6
536551,168,2
536551,179,3
536551,185,1
536551,217,2
536551,218,2
536551,220,1
536551,260,3
536551,274,2
536551,297,3
536551,308,1
536551,310,6
536551,352,12
536551,422,3
536551,427,2
536551,461,2
536551,540,12
536551,554,2
536551,620,2
536551,638,1
536551,691,1
536551,781,2
536551,782,2
536551,783,1
536556,264,2
536556,405,6
536556,723,1
536556,784,12
536556,785,12
536556,786,24
536556,787,2
536556,788,12
536557,4,2
536557,5,1
536557,57,1
536557,58,3
536557,84,1
536557,123,1
536557,129,2
536557,142,24
536557,146,1
536557,155,1
536557,170,24
536557,177,3
536557,186,1
536557,206,1
536557,212,1
536557,217,1
536557,218,2
536557,219,5
536557,220,7
536557,225,3
536557,254,1
536557,264,1
536557,274,5
536557,328,1
536557,331,1
536557,384,1
536557,405,2
536557,481,4
536557,515,1
536557,529,4
536557,565,2
536557,605,2
536557,606,1
536557,614,2
536557,636,1
536557,712,1
536557,713,1
536557,789,25
536557,790,2
536557,791,1
536557,792,1
536557,793,1
536557,794,1
536557,795,1
536557,796,4
536557,797,6
536557,798,2
536557,799,2
536557,800,1
536557,801,3
536557,802,1
536557,803,2
536557,804,1
536557,805,11
536557,806,2
536557,807,9
536557,808,1
536557,809,1
536557,810,1
536557,811,1
536557,812,2
536557,813,1
536559,793,36
536559,814,10
536559,815,36
536559,816,24
536559,817,12
536559,818,10
536559,819,1
536560,22,12
536560,142,48
536560,203,10
536560,241,10
536560,306,96
536560,311,20
536560,714,6
536560,820,10
536560,821,4
536560,822,4
536560,823,12
536560,824,12
536560,825,12
536561,9,12
536561,11,6
536561,12,6
536561,40,12
536561,143,8
536561,144,8
536561,145,12
536561,148,6
536561,198,12
536561,199,12
536561,208,12
536561,381,6
536561,413,4
536561,427,12
536561,605,12
536562,6,2
536562,20,2
536562,213,2
536562,214,12
536562,311,2
536562,312,2
536562,334,6
536562,533,2
536562,662,4
536562,752,9
536562,826,6
536562,827,8
536562,828,2
536562,829,12
536562,830,4
536562,831,6
536562,832,6
536562,833,12
536563,117,4
536563,155,1
536563,289,4
536563,398,10
536563,652,10
536563,733,4
536563,751,72
536563,834,36
536563,835,24
536564,827,8
536564,828,4
536566,85,36
536566,86,10
536566,276,20
536566,277,12
536566,278,9
536566,836,6
536567,9,24
536567,106,12
536567,198,24
536567,199,24
536567,208,24
536567,449,12
536567,829,12
536568,149,12
536569,17,1
536569,37,1
536569,47,1
536569,50,1
536569,51,1
536569,131,1
536569,134,1
536569,155,1
536569,220,2
536569,234,1
536569,261,3
536569,343,2
536569,358,4
536569,396,1
536569,397,1
536569,404,12
536569,413,1
536569,414,12
536569,442,1
536569,460,2
536569,502,12
536569,507,1
536569,509,1
536569,515,2
536569,532,4
536569,540,12
536569,581,1
536569,610,2
536569,658,1
536569,718,1
536569,720,1
536569,725,1
536569,726,1
536569,754,1
536569,803,1
536569,834,1
536569,837,1
536569,838,1
536569,839,1
536569,840,1
536569,841,1
536569,842,2
536569,843,2
536569,844,3
536569,845,1
536569,846,1
536569,847,1
536569,848,2
536569,849,2
536569,850,1
536569,851,2
536569,852,1
536569,853,3
536569,854,1
536569,855,1
536569,856,1
536569,857,2
536569,858,2
536569,859,1
536569,860,2
536569,861,12
536569,862,12
536569,863,1
536569,864,1
536570,127,12
536570,217,24
536570,442,36
536570,466,12
536570,865,2
536571,61,10
536571,395,24
536571,406,12
536571,476,12
536571,690,24
536571,866,6
536571,867,6
536571,868,2
536571,869,48
536571,870,48
536571,871,12
536571,872,12
536571,873,24
536571,874,4
536571,875,2
536571,876,12
536571,877,24
536571,878,2
536572,18,6
536572,26,3
536572,111,10
536572,128,12
536572,343,12
536572,401,12
536572,409,24
536572,410,24
536572,411,24
536572,507,24
536572,508,24
536572,610,12
536572,725,3
536572,726,3
536572,749,24
536572,846,24
536572,854,12
536572,867,6
536572,879,6
536572,880,24
536572,881,12
536573,124,16
536573,307,36
536573,308,12
536573,741,72
536574,26,3
536575,1,128
536575,141,70
536575,214,144
536575,626,72
536575,704,252
536575,710,72
536575,882,72
536575,883,48
536576,1,128
536576,5,96
536576,105,36
536576,122,120
536576,141,30
536576,295,60
536576,463,12
536576,529,144
536576,626,48
536576,704,72
536576,710,96
536576,884,16
536576,885,36
536576,886,72
536576,887,144
536576,888,12
536577,67,60
536577,106,144
536577,214,144
536577,403,40
536578,27,4
536578,29,4
536578,184,8
536578,198,24
536578,199,24
536578,207,4
536578,274,12
536578,421,24
536579,214,216
536579,295,60
536580,329,12
536580,330,12
536580,393,12
536580,651,12
536580,706,12
536580,889,6
536581,141,200
536582,84,12
536582,86,24
536582,89,12
536582,219,8
536582,429,24
536582,431,24
536582,446,6
536582,450,12
536582,658,2
536582,659,2
536582,836,12
536582,890,4
536582,891,6
536582,892,6
536582,893,6
536582,894,12
536582,895,12
536583,463,120
536584,5,384
536585,828,2
536586,27,8
536586,29,8
536586,206,4
536586,207,4
536586,272,8
536586,822,8
536586,896,4
536587,6,2
536587,43,24
536587,58,4
536587,106,12
536587,145,12
536587,208,12
536587,214,12
536587,216,6
536587,271,9
536587,320,30
536587,342,24
536587,406,12
536587,412,24
536587,495,6
536587,614,12
536587,629,12
536587,653,6
536587,699,24
536587,764,10
536587,897,12
536587,898,12
536587,899,36
536588,20,1
536588,22,6
536588,64,6
536588,65,12
536588,79,12
536588,165,12
536588,166,12
536588,602,12
536588,712,12
536588,713,12
536588,900,6
536590,1,6
536590,17,2
536590,58,4
536590,92,12
536590,127,6
536590,131,1
536590,151,12
536590,218,3
536590,609,1
536590,772,1
536590,809,2
536590,901,8
536590,902,4
536590,903,12
536591,34,1
536591,60,1
536591,115,1
536591,184,2
536591,394,1
536591,408,1
536591,444,1
536591,496,4
536591,553,1
536591,592,1
536591,606,1
536591,725,2
536591,752,27
536591,799,2
536591,815,12
536591,828,1
536591,904,1
536591,905,1
536591,906,1
536591,907,1
536591,908,2
536591,909,1
536591,910,1
536591,911,1
536591,912,1
536591,913,1
536591,914,2
536591,915,1
536591,916,1
536591,917,2
536591,918,1
536591,919,1
536591,920,1
536591,921,1
536591,922,2
536591,923,3
536591,924,1
536591,925,5
536591,926,1
536591,927,1
536593,660,3
536593,740,2
536593,818,2
536593,928,6
536593,929,6
536594,1,6
536594,59,6
536594,263,6
536594,308,12
536594,442,4
536595,26,4
536595,48,1
536595,326,5
536595,405,5
536595,528,60
536595,529,24
536595,537,1
536595,725,4
536595,930,1
536595,931,1
536595,932,2
536597,47,1
536597,169,1
536597,171,6
536597,227,1
536597,266,1
536597,267,1
536597,326,2
536597,340,3
536597,379,1
536597,395,4
536597,398,1
536597,515,1
536597,526,4
536597,584,2
536597,933,1
536597,934,4
536597,935,1
536597,936,1
536597,937,1
536597,938,4
536597,939,1
536597,940,1
536597,941,1
536597,942,1
536597,943,14
536597,944,1
536597,945,5
536597,946,6
536598,307,24
536598,947,12
536598,948,16
536598,949,24
536599,28,4
536599,29,12
536599,167,8
536599,264,12
536599,640,36
536599,773,8
536600,1,6
536600,2,6
536600,4,6
536600,5,6
536600,6,2
536600,7,4
536600,53,4
536600,54,2
536600,55,6
536600,56,6
536600,82,6
536600,209,2
536601,8,6
536601,9,6
536602,1,6
536602,2,6
536602,4,6
536602,5,6
536602,6,2
536602,7,4
536602,49,6
536602,50,6
536602,51,6
536602,52,6
536602,53,4
536602,82,6
536603,8,6
536603,9,6
536604,79,24
536604,100,12
536604,127,6
536604,132,12
536604,168,12
536604,518,12
536604,752,18
536604,950,6
536604,951,12
536605,220,3
536605,253,10
536605,254,10
536605,314,12
536605,341,8
536605,369,6
536605,380,6
536605,381,6
536605,564,8
536605,833,12
536605,952,2
536605,953,3
536605,954,3
536605,955,6
536605,956,12
536606,297,-2
536607,1,6
536607,10,8
536607,18,3
536607,26,3
536607,58,4
536607,59,6
536607,60,10
536607,127,6
536607,141,10
536607,263,6
536607,339,2
536607,446,6
536607,533,1
536607,639,2
536607,957,2
536607,958,12
536607,959,2
536607,960,4
536608,165,12
536608,166,12
536608,950,6
536609,1,6
536609,2,6
536609,3,6
536609,4,6
536609,5,6
536609,6,2
536609,7,6
536609,49,6
536609,50,6
536609,51,6
536609,52,6
536609,53,4
536609,54,4
536609,55,6
536609,56,6
536609,82,6
536610,8,6
536610,9,6
536611,8,12
536611,9,24
536611,190,12
536611,198,12
536611,199,12
536611,226,12
536611,242,12
536611,301,12
536611,406,12
536611,892,6
536611,893,3
536611,961,6
536611,962,6
536611,963,12
